Categorie,SousFamille,Technology,GWP_bascule,GWP_disparition
publique,electrique,TRAMWAY_TROLLEY,10.0,
publique,electrique,BUS_COACH_DIESEL,10.0,10.0
publique,electrique,BUS_COACH_HYDIESEL,10.0,960.0
publique,electrique,BUS_COACH_CNG_STOICH,10.0,10.0
publique,electrique,BUS_COACH_FC_HYBRIDH2,10.0,10.0
publique,electrique,TRAIN_PUB,10.0,170.0
publique,electrique,CAR_GASOLINE,,
publique,electrique,CAR_DIESEL,10.0,10.0
publique,electrique,CAR_NG,10.0,40.0
publique,electrique,CAR_METHANOL,10.0,10.0
publique,electrique,CAR_HEV,10.0,
publique,electrique,CAR_PHEV,10.0,10.0
publique,electrique,CAR_BEV,10.0,10.0
publique,electrique,CAR_FUEL_CELL,10.0,10.0
publique,electrique,TRAIN_FREIGHT,10.0,
publique,electrique,BOAT_FREIGHT_DIESEL,10.0,
publique,electrique,BOAT_FREIGHT_NG,10.0,140.0
publique,electrique,BOAT_FREIGHT_METHANOL,10.0,120.0
publique,electrique,TRUCK_DIESEL,10.0,380.0
publique,electrique,TRUCK_METHANOL,10.0,60.0
publique,electrique,TRUCK_FUEL_CELL,10.0,80.0
publique,electrique,TRUCK_ELEC,10.0,10.0
publique,electrique,TRUCK_NG,10.0,50.0
publique,gaz,TRAMWAY_TROLLEY,0.01,
publique,gaz,BUS_COACH_DIESEL,0.01,10.0
publique,gaz,BUS_COACH_HYDIESEL,0.01,10.0
publique,gaz,BUS_COACH_CNG_STOICH,0.01,0.01
publique,gaz,BUS_COACH_FC_HYBRIDH2,0.01,0.01
publique,gaz,TRAIN_PUB,0.01,
publique,gaz,CAR_GASOLINE,,
publique,gaz,CAR_DIESEL,0.01,
publique,gaz,CAR_NG,0.01,0.01
publique,gaz,CAR_METHANOL,0.01,0.01
publique,gaz,CAR_HEV,0.01,
publique,gaz,CAR_PHEV,0.01,0.01
publique,gaz,CAR_BEV,0.01,0.01
publique,gaz,CAR_FUEL_CELL,0.01,
publique,gaz,TRAIN_FREIGHT,0.01,
publique,gaz,BOAT_FREIGHT_DIESEL,0.01,
publique,gaz,BOAT_FREIGHT_NG,0.01,
publique,gaz,BOAT_FREIGHT_METHANOL,0.01,0.01
publique,gaz,TRUCK_DIESEL,0.01,
publique,gaz,TRUCK_METHANOL,0.01,10.0
publique,gaz,TRUCK_FUEL_CELL,0.01,
publique,gaz,TRUCK_ELEC,0.01,0.01
publique,gaz,TRUCK_NG,0.01,0.01
publique,hybride,TRAMWAY_TROLLEY,0.02,0.02
publique,hybride,BUS_COACH_DIESEL,0.02,0.02
publique,hybride,BUS_COACH_HYDIESEL,0.02,60.0
publique,hybride,BUS_COACH_CNG_STOICH,0.02,0.02
publique,hybride,BUS_COACH_FC_HYBRIDH2,0.02,0.02
publique,hybride,TRAIN_PUB,0.02,0.02
publique,hybride,CAR_GASOLINE,0.04,
publique,hybride,CAR_DIESEL,0.02,0.02
publique,hybride,CAR_NG,0.02,0.02
publique,hybride,CAR_METHANOL,0.02,0.02
publique,hybride,CAR_HEV,0.02,
publique,hybride,CAR_PHEV,0.02,0.02
publique,hybride,CAR_BEV,0.02,0.02
publique,hybride,CAR_FUEL_CELL,0.02,0.02
publique,hybride,TRAIN_FREIGHT,0.02,
publique,hybride,BOAT_FREIGHT_DIESEL,0.02,
publique,hybride,BOAT_FREIGHT_NG,0.02,60.0
publique,hybride,BOAT_FREIGHT_METHANOL,0.02,0.05
publique,hybride,TRUCK_DIESEL,0.02,0.09
publique,hybride,TRUCK_METHANOL,0.02,0.02
publique,hybride,TRUCK_FUEL_CELL,0.02,0.02
publique,hybride,TRUCK_ELEC,0.02,0.02
publique,hybride,TRUCK_NG,0.02,0.02
