folder,techno_modifiee,gwp_constr,f_CAR_GASOLINE,f_CAR_HEV,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
0_SD_MOB_gaz_gwp342,gaz,342.0,0.000207,,16.761751,9.863962,11.577573,1.9405,1.346645,1.315721
1_SD_MOB_gaz_gwp372,gaz,372.0,4.1e-05,,17.151017,8.907385,11.142875,3.232778,1.802769,1.217468
2_SD_MOB_gaz_gwp402,gaz,402.0,0.000121,,16.848792,8.584956,6.816458,1.548277,3.047943,1.195124
3_SD_MOB_gaz_gwp432,gaz,432.0,3.6e-05,,19.377755,9.642251,6.303099,3.315555,0.971408,0.966496
4_SD_MOB_gaz_gwp462,gaz,462.0,4.3e-05,,17.077387,9.941841,6.467099,1.871924,1.207802,1.414551
5_SD_MOB_gaz_gwp467,gaz,467.0,0.000169,,16.532732,11.456381,6.178815,1.284905,0.738112,1.08982
6_SD_MOB_gaz_gwp472,gaz,472.0,0.000137,,16.539326,9.908333,6.234553,1.358466,1.995471,1.180598
7_SD_MOB_gaz_gwp477,gaz,477.0,6.4e-05,,17.968571,9.143105,6.251483,1.969866,2.590418,1.061212
8_SD_MOB_gaz_gwp482,gaz,482.0,0.00012,,16.648137,9.780939,6.163789,2.271024,0.819264,1.283249
9_SD_MOB_gaz_gwp487,gaz,487.0,1.6e-05,,18.256535,10.608414,6.771238,4.286902,1.758601,1.319772
10_SD_MOB_gaz_gwp492,gaz,492.0,0.000315,,17.29132,9.236884,6.16509,2.704047,0.71859,1.107033
5_SD_MOB_gaz_gwp492,gaz,492.0,0.000315,,17.29132,9.236884,6.16509,2.704047,0.71859,1.107033
0_SD_MOB_hybride_gwp519,hybride,519.0,,176.96229,17.29132,9.236884,6.16509,2.704047,0.71859,1.107033
0_SD_MOB_hybride_gwp539,hybride,539.0,,2e-06,16.53676,9.292705,10.590539,1.743235,1.232748,1.182546
1_SD_MOB_hybride_gwp539,hybride,539.0,,2e-06,16.53676,9.292705,10.590539,1.743235,1.232748,1.182546
