gwp_bioethanol,gwp_biodiesel,gwp_gas,gwp_gas_RE,gwp_H2_RE,gwp_H2,gwp_ammonia,gwp_ammonia_RE,gwp_methanol,gwp_methanol_RE,gwp_op
                 0.024224,                 0.030224,                 0.240214,                 0.033811,                 0.027810,                 0.292967,                 0.290233,                 0.025543,                 0.412247,                 0.032520,              4046.253987
                 0.024318,                 0.026193,                 0.296034,                 0.032404,                 0.032029,                 0.283517,                 0.264405,                 0.029575,                 0.317090,                 0.026989,              4046.253072
                 0.030318,                 0.032193,                 0.242714,                 0.026404,                 0.026029,                 0.350717,                 0.321405,                 0.035575,                 0.387090,                 0.032989,              4046.253358
                 0.033318,                 0.029193,                 0.216054,                 0.035404,                 0.029029,                 0.317117,                 0.292905,                 0.026575,                 0.282090,                 0.035989,              4046.254636
                 0.027318,                 0.035193,                 0.269374,                 0.029404,                 0.035029,                 0.384317,                 0.235905,                 0.032575,                 0.352090,                 0.029989,              4046.253915
                 0.028818,                 0.027693,                 0.256044,                 0.030904,                 0.027529,                 0.401117,                 0.278655,                 0.034075,                 0.334590,                 0.034489,              4046.252902
                 0.034818,                 0.033693,                 0.309364,                 0.024904,                 0.033529,                 0.333917,                 0.335655,                 0.028075,                 0.404590,                 0.028489,              4046.254801
                 0.031818,                 0.024693,                 0.282704,                 0.033904,                 0.030529,                 0.367517,                 0.307155,                 0.031075,                 0.299590,                 0.025489,              4046.252942
                 0.025818,                 0.030693,                 0.229384,                 0.027904,                 0.024529,                 0.300317,                 0.250155,                 0.025075,                 0.369590,                 0.031489,              4046.252536
                 0.026568,                 0.029943,                 0.276039,                 0.024154,                 0.026779,                 0.291917,                 0.257280,                 0.030325,                 0.343340,                 0.026239,              4046.252991
                 0.032568,                 0.035943,                 0.222719,                 0.030154,                 0.032779,                 0.359117,                 0.314280,                 0.024325,                 0.413340,                 0.032239,              4046.252277
                 0.035568,                 0.026943,                 0.249379,                 0.027154,                 0.035779,                 0.325517,                 0.285780,                 0.033325,                 0.308340,                 0.035239,              4046.251491
                 0.029568,                 0.032943,                 0.302699,                 0.033154,                 0.029779,                 0.392717,                 0.228780,                 0.027325,                 0.378340,                 0.029239,              4046.253157
                 0.028068,                 0.025443,                 0.236049,                 0.025654,                 0.034279,                 0.375917,                 0.271530,                 0.025825,                 0.325840,                 0.033739,              4046.253177
                 0.034068,                 0.031443,                 0.289369,                 0.031654,                 0.028279,                 0.308717,                 0.328530,                 0.031825,                 0.395840,                 0.027739,              4046.253263
                 0.031068,                 0.028443,                 0.316029,                 0.028654,                 0.025279,                 0.342317,                 0.300030,                 0.028825,                 0.290840,                 0.024739,              4046.254199
                 0.025068,                 0.034443,                 0.262709,                 0.034654,                 0.031279,                 0.275117,                 0.243030,                 0.034825,                 0.360840,                 0.030739,              4046.254889
                 0.025443,                 0.028068,                 0.226051,                 0.034279,                 0.034654,                 0.304517,                 0.324968,                 0.032200,                 0.356465,                 0.028114,              4046.254903
                 0.031443,                 0.034068,                 0.279371,                 0.028279,                 0.028654,                 0.371717,                 0.267968,                 0.026200,                 0.286465,                 0.034114,              4046.253266
                 0.034443,                 0.025068,                 0.306031,                 0.031279,                 0.025654,                 0.270917,                 0.239468,                 0.035200,                 0.391465,                 0.031114,              4046.253625
                 0.028443,                 0.031068,                 0.252711,                 0.025279,                 0.031654,                 0.338117,                 0.296468,                 0.029200,                 0.321465,                 0.025114,              4046.253286
                 0.029943,                 0.026568,                 0.292701,                 0.035779,                 0.024154,                 0.354917,                 0.339218,                 0.024700,                 0.373965,                 0.032614,              4046.252975
